,name,characters,type,json,len
10,Balance,"steward,noble,grandmother,pixie,high_priestess,sailor,town_crier,gambler,gossip,savant,seamstress,mayor,cannibal,recluse,mutant,drunk,lunatic,godfather,poisoner,cerenovus,mezepheles,marionette,lil_monsta,lleech,imp",full,"[{""id"": ""_meta"", ""name"": ""Balance"", ""author"": ""Fearless Dave""}, {""id"": ""steward""}, {""id"": ""noble""}, {""id"": ""grandmother""}, {""id"": ""pixie""}, {""id"": ""high_priestess""}, {""id"": ""sailor""}, {""id"": ""town_crier""}, {""id"": ""gambler""}, {""id"": ""gossip""}, {""id"": ""savant""}, {""id"": ""seamstress""}, {""id"": ""mayor""}, {""id"": ""cannibal""}, {""id"": ""recluse""}, {""id"": ""mutant""}, {""id"": ""drunk""}, {""id"": ""lunatic""}, {""id"": ""godfather""}, {""id"": ""poisoner""}, {""id"": ""cerenovus""}, {""id"": ""mezepheles""}, {""id"": ""marionette""}, {""id"": ""lil_monsta""}, {""id"": ""lleech""}, {""id"": ""imp""}]",25
11,Tea or Coffee?,"empath,preacher,fortune_teller,mathematician,innkeeper,gambler,monk,gossip,savant,artist,professor,seamstress,minstrel,acrobat,recluse,damsel,drunk,godfather,poisoner,pit-hag,scarlet_woman,no_dashii,shabaloth,po,vigormortis,barista",full,"[{""id"": ""_meta"", ""name"": ""Tea or Coffee?"", ""author"": """"}, {""id"": ""empath""}, {""id"": ""preacher""}, {""id"": ""fortune_teller""}, {""id"": ""mathematician""}, {""id"": ""innkeeper""}, {""id"": ""gambler""}, {""id"": ""monk""}, {""id"": ""gossip""}, {""id"": ""savant""}, {""id"": ""artist""}, {""id"": ""professor""}, {""id"": ""seamstress""}, {""id"": ""minstrel""}, {""id"": ""acrobat""}, {""id"": ""recluse""}, {""id"": ""damsel""}, {""id"": ""drunk""}, {""id"": ""godfather""}, {""id"": ""poisoner""}, {""id"": ""pit-hag""}, {""id"": ""scarlet_woman""}, {""id"": ""no_dashii""}, {""id"": ""shabaloth""}, {""id"": ""po""}, {""id"": ""vigormortis""}, {""id"": ""barista""}]",26
12,Mobsters,"chef,washerwoman,bounty_hunter,empath,town_crier,undertaker,innkeeper,gambler,gossip,amnesiac,nightwatchman,seamstress,mayor,snitch,goon,sweetheart,drunk,godfather,poisoner,fearmonger,spy,assassin,imp,lil_monsta,po,gangster",full,"[{""id"": ""_meta"", ""name"": ""Mobsters v5.1"", ""author"": ""Jack""}, {""id"": ""chef""}, {""id"": ""washerwoman""}, {""id"": ""bounty_hunter""}, {""id"": ""empath""}, {""id"": ""town_crier""}, {""id"": ""undertaker""}, {""id"": ""innkeeper""}, {""id"": ""gambler""}, {""id"": ""gossip""}, {""id"": ""amnesiac""}, {""id"": ""nightwatchman""}, {""id"": ""seamstress""}, {""id"": ""mayor""}, {""id"": ""snitch""}, {""id"": ""goon""}, {""id"": ""sweetheart""}, {""id"": ""drunk""}, {""id"": ""godfather""}, {""id"": ""poisoner""}, {""id"": ""fearmonger""}, {""id"": ""spy""}, {""id"": ""assassin""}, {""id"": ""imp""}, {""id"": ""lil_monsta""}, {""id"": ""po""}, {""id"": ""gangster""}]",26
13,Love is No Friend of Mine,"chef,empath,chambermaid,balloonist,dreamer,flowergirl,gossip,professor,philosopher,huntsman,fool,pacifist,virgin,tinker,damsel,drunk,moonchild,godfather,poisoner,devils_advocate,scarlet_woman,lleech,shabaloth,po",full,"[{""id"": ""_meta"", ""name"": ""Love is No Friend of Mine"", ""author"": ""Tam""}, {""id"": ""chef""}, {""id"": ""empath""}, {""id"": ""chambermaid""}, {""id"": ""balloonist""}, {""id"": ""dreamer""}, {""id"": ""flowergirl""}, {""id"": ""gossip""}, {""id"": ""professor""}, {""id"": ""philosopher""}, {""id"": ""huntsman""}, {""id"": ""fool""}, {""id"": ""pacifist""}, {""id"": ""virgin""}, {""id"": ""tinker""}, {""id"": ""damsel""}, {""id"": ""drunk""}, {""id"": ""moonchild""}, {""id"": ""godfather""}, {""id"": ""poisoner""}, {""id"": ""devils_advocate""}, {""id"": ""scarlet_woman""}, {""id"": ""lleech""}, {""id"": ""shabaloth""}, {""id"": ""po""}]",24
14,Fear and Voting in Las Vegas,"noble,steward,pixie,magician,alchemist,amnesiac,cult_leader,general,town_crier,flowergirl,cannibal,fisherman,mayor,klutz,politician,mutant,lunatic,boomdandy,organ_grinder,witch,fearmonger,vizier,imp,no_dashii,lil_monsta,sentinel",full,"[{""id"": ""_meta"", ""name"": ""Fear and Voting in Las Vegas"", ""author"": ""Guggie""}, {""id"": ""noble""}, {""id"": ""steward""}, {""id"": ""pixie""}, {""id"": ""magician""}, {""id"": ""alchemist""}, {""id"": ""amnesiac""}, {""id"": ""cult_leader""}, {""id"": ""general""}, {""id"": ""town_crier""}, {""id"": ""flowergirl""}, {""id"": ""cannibal""}, {""id"": ""fisherman""}, {""id"": ""mayor""}, {""id"": ""klutz""}, {""id"": ""politician""}, {""id"": ""mutant""}, {""id"": ""lunatic""}, {""id"": ""boomdandy""}, {""id"": ""organ_grinder""}, {""id"": ""witch""}, {""id"": ""fearmonger""}, {""id"": ""vizier""}, {""id"": ""imp""}, {""id"": ""no_dashii""}, {""id"": ""lil_monsta""}, {""id"": ""sentinel""}]",26
15,Ambivalence,"noble,clockmaker,pixie,high_priestess,chambermaid,dreamer,flowergirl,oracle,artist,huntsman,magician,ravenkeeper,minstrel,mutant,damsel,drunk,lunatic,cerenovus,baron,scarlet_woman,evil_twin,marionette,no_dashii,fang_gu,vortox",full,"[{""id"": ""_meta"", ""name"": ""Ambivalence"", ""author"": ""Ryan Luttrell""}, {""id"": ""noble""}, {""id"": ""clockmaker""}, {""id"": ""pixie""}, {""id"": ""high_priestess""}, {""id"": ""chambermaid""}, {""id"": ""dreamer""}, {""id"": ""flowergirl""}, {""id"": ""oracle""}, {""id"": ""artist""}, {""id"": ""huntsman""}, {""id"": ""magician""}, {""id"": ""ravenkeeper""}, {""id"": ""minstrel""}, {""id"": ""mutant""}, {""id"": ""damsel""}, {""id"": ""drunk""}, {""id"": ""lunatic""}, {""id"": ""cerenovus""}, {""id"": ""baron""}, {""id"": ""scarlet_woman""}, {""id"": ""evil_twin""}, {""id"": ""marionette""}, {""id"": ""no_dashii""}, {""id"": ""fang_gu""}, {""id"": ""vortox""}]",25
16,The Asylum,"noble,pixie,balloonist,chambermaid,dreamer,snake_charmer,nightwatchman,amnesiac,cannibal,poppy_grower,mayor,sage,atheist,drunk,politician,mutant,lunatic,cerenovus,scarlet_woman,widow,marionette,goblin,imp,fang_gu,vortox",full,"[{""id"": ""_meta"", ""name"": ""The Asylum v2.0"", ""author"": ""Jack""}, {""id"": ""noble""}, {""id"": ""pixie""}, {""id"": ""balloonist""}, {""id"": ""chambermaid""}, {""id"": ""dreamer""}, {""id"": ""snake_charmer""}, {""id"": ""nightwatchman""}, {""id"": ""amnesiac""}, {""id"": ""cannibal""}, {""id"": ""poppy_grower""}, {""id"": ""mayor""}, {""id"": ""sage""}, {""id"": ""atheist""}, {""id"": ""drunk""}, {""id"": ""politician""}, {""id"": ""mutant""}, {""id"": ""lunatic""}, {""id"": ""cerenovus""}, {""id"": ""scarlet_woman""}, {""id"": ""widow""}, {""id"": ""marionette""}, {""id"": ""goblin""}, {""id"": ""imp""}, {""id"": ""fang_gu""}, {""id"": ""vortox""}]",25
17,What is Real?,"innkeeper,sailor,bounty_hunter,courtier,fortune_teller,cannibal,magician,oracle,philosopher,snake_charmer,poppy_grower,tea_lady,pixie,lunatic,drunk,goon,recluse,poisoner,cerenovus,pit-hag,marionette,lleech,no_dashii,vortox,pukka",full,"[{""id"": ""_meta"", ""name"": ""What is Real?""}, {""id"": ""innkeeper""}, {""id"": ""sailor""}, {""id"": ""bounty_hunter""}, {""id"": ""courtier""}, {""id"": ""fortune_teller""}, {""id"": ""cannibal""}, {""id"": ""magician""}, {""id"": ""oracle""}, {""id"": ""philosopher""}, {""id"": ""snake_charmer""}, {""id"": ""poppy_grower""}, {""id"": ""tea_lady""}, {""id"": ""pixie""}, {""id"": ""lunatic""}, {""id"": ""drunk""}, {""id"": ""goon""}, {""id"": ""recluse""}, {""id"": ""poisoner""}, {""id"": ""cerenovus""}, {""id"": ""pit-hag""}, {""id"": ""marionette""}, {""id"": ""lleech""}, {""id"": ""no_dashii""}, {""id"": ""vortox""}, {""id"": ""pukka""}]",25
18,How many Imps,"washerwoman,librarian,investigator,chef,empath,fortune_teller,undertaker,monk,ravenkeeper,virgin,slayer,soldier,mayor,innkeeper,balloonist,butler,drunk,recluse,saint,lunatic,baron,poisoner,scarlet_woman,spy,imp",full,"[{""id"": ""_meta"", ""name"": ""How many Imps?"", ""author"": ""Cam Brown""}, {""id"": ""washerwoman""}, {""id"": ""librarian""}, {""id"": ""investigator""}, {""id"": ""chef""}, {""id"": ""empath""}, {""id"": ""fortune_teller""}, {""id"": ""undertaker""}, {""id"": ""monk""}, {""id"": ""ravenkeeper""}, {""id"": ""virgin""}, {""id"": ""slayer""}, {""id"": ""soldier""}, {""id"": ""mayor""}, {""id"": ""innkeeper""}, {""id"": ""balloonist""}, {""id"": ""butler""}, {""id"": ""drunk""}, {""id"": ""recluse""}, {""id"": ""saint""}, {""id"": ""lunatic""}, {""id"": ""baron""}, {""id"": ""poisoner""}, {""id"": ""scarlet_woman""}, {""id"": ""spy""}, {""id"": ""imp""}]",25
19,Paranoia,"bounty_hunter,grandmother,knight,high_priestess,fortune_teller,general,savant,monk,gambler,undertaker,seamstress,ravenkeeper,juggler,tinker,lunatic,puzzlemaster,klutz,witch,baron,widow,mastermind,no_dashii,po,vigormortis",full,"[{""id"": ""_meta"", ""name"": ""Paranoia"", ""author"": ""Khinoe""}, {""id"": ""bounty_hunter""}, {""id"": ""grandmother""}, {""id"": ""knight""}, {""id"": ""high_priestess""}, {""id"": ""fortune_teller""}, {""id"": ""general""}, {""id"": ""savant""}, {""id"": ""monk""}, {""id"": ""gambler""}, {""id"": ""undertaker""}, {""id"": ""seamstress""}, {""id"": ""ravenkeeper""}, {""id"": ""juggler""}, {""id"": ""tinker""}, {""id"": ""lunatic""}, {""id"": ""puzzlemaster""}, {""id"": ""klutz""}, {""id"": ""witch""}, {""id"": ""baron""}, {""id"": ""widow""}, {""id"": ""mastermind""}, {""id"": ""no_dashii""}, {""id"": ""po""}, {""id"": ""vigormortis""}]",24
20,My Mum Thinks I'm Special,"steward,balloonist,king,fortune_teller,snake_charmer,flowergirl,undertaker,innkeeper,savant,nightwatchman,professor,choirboy,mayor,goon,sweetheart,klutz,barber,poisoner,cerenovus,marionette,vizier,al-hadikhia",full,"[{""id"": ""_meta"", ""name"": ""My Mum Thinks I'm Special"", ""author"": ""Sean and Tam""}, {""id"": ""steward""}, {""id"": ""balloonist""}, {""id"": ""king""}, {""id"": ""fortune_teller""}, {""id"": ""snake_charmer""}, {""id"": ""flowergirl""}, {""id"": ""undertaker""}, {""id"": ""innkeeper""}, {""id"": ""savant""}, {""id"": ""nightwatchman""}, {""id"": ""professor""}, {""id"": ""choirboy""}, {""id"": ""mayor""}, {""id"": ""goon""}, {""id"": ""sweetheart""}, {""id"": ""klutz""}, {""id"": ""barber""}, {""id"": ""poisoner""}, {""id"": ""cerenovus""}, {""id"": ""marionette""}, {""id"": ""vizier""}, {""id"": ""al-hadikhia""}]",22
21,Dennis Haysbert,"bounty_hunter,pixie,high_priestess,chambermaid,dreamer,innkeeper,lycanthrope,gossip,savant,alchemist,poppy_grower,mayor,atheist,tinker,drunk,politician,lunatic,godfather,cerenovus,pit-hag,evil_twin,marionette,lil_monsta,vortox,legion,apprentice,barista,beggar,bone_collector,deviant,djinn",full,"[{""id"": ""_meta"", ""logo"": ""https://cdn.discordapp.com/attachments/1032923025252823062/1124136665892524164/DennisHaysbert.png"", ""name"": ""Dennis Haysbert"", ""author"": ""Etreides""}, {""id"": ""bounty_hunter""}, {""id"": ""pixie""}, {""id"": ""high_priestess""}, {""id"": ""chambermaid""}, {""id"": ""dreamer""}, {""id"": ""innkeeper""}, {""id"": ""lycanthrope""}, {""id"": ""gossip""}, {""id"": ""savant""}, {""id"": ""alchemist""}, {""id"": ""poppy_grower""}, {""id"": ""mayor""}, {""id"": ""atheist""}, {""id"": ""tinker""}, {""id"": ""drunk""}, {""id"": ""politician""}, {""id"": ""lunatic""}, {""id"": ""godfather""}, {""id"": ""cerenovus""}, {""id"": ""pit-hag""}, {""id"": ""evil_twin""}, {""id"": ""marionette""}, {""id"": ""lil_monsta""}, {""id"": ""vortox""}, {""id"": ""legion""}, {""id"": ""apprentice""}, {""id"": ""barista""}, {""id"": ""beggar""}, {""id"": ""bone_collector""}, {""id"": ""deviant""}, {""id"": ""djinn""}]",31
22,Castlegaynia,"knight,clockmaker,bounty_hunter,high_priestess,preacher,snake_charmer,monk,exorcist,nightwatchman,slayer,soldier,pacifist,sage,butler,saint,sweetheart,recluse,widow,witch,fearmonger,assassin,marionette,lleech,imp,legion,judge,bishop,butcher,bone_collector,sentinel",full,"[{""id"": ""_meta"", ""name"": ""castlegaynia v2.2"", ""author"": ""Hallow""}, {""id"": ""knight""}, {""id"": ""clockmaker""}, {""id"": ""bounty_hunter""}, {""id"": ""high_priestess""}, {""id"": ""preacher""}, {""id"": ""snake_charmer""}, {""id"": ""monk""}, {""id"": ""exorcist""}, {""id"": ""nightwatchman""}, {""id"": ""slayer""}, {""id"": ""soldier""}, {""id"": ""pacifist""}, {""id"": ""sage""}, {""id"": ""butler""}, {""id"": ""saint""}, {""id"": ""sweetheart""}, {""id"": ""recluse""}, {""id"": ""widow""}, {""id"": ""witch""}, {""id"": ""fearmonger""}, {""id"": ""assassin""}, {""id"": ""marionette""}, {""id"": ""lleech""}, {""id"": ""imp""}, {""id"": ""legion""}, {""id"": ""judge""}, {""id"": ""bishop""}, {""id"": ""butcher""}, {""id"": ""bone_collector""}, {""id"": ""sentinel""}]",30
23,I Signed An NDA After Writing This,"steward,clockmaker,librarian,high_priestess,flowergirl,town_crier,oracle,savant,nightwatchman,fisherman,slayer,philosopher,huntsman,puzzlemaster,recluse,mutant,damsel,godfather,witch,pit-hag,scarlet_woman,boomdandy,lil_monsta,fang_gu,vortox",full,"[{""id"": ""_meta"", ""name"": ""I Signed An NDA After Writing This"", ""author"": ""Avery & sabenite""}, {""id"": ""steward""}, {""id"": ""clockmaker""}, {""id"": ""librarian""}, {""id"": ""high_priestess""}, {""id"": ""flowergirl""}, {""id"": ""town_crier""}, {""id"": ""oracle""}, {""id"": ""savant""}, {""id"": ""nightwatchman""}, {""id"": ""fisherman""}, {""id"": ""slayer""}, {""id"": ""philosopher""}, {""id"": ""huntsman""}, {""id"": ""puzzlemaster""}, {""id"": ""recluse""}, {""id"": ""mutant""}, {""id"": ""damsel""}, {""id"": ""godfather""}, {""id"": ""witch""}, {""id"": ""pit-hag""}, {""id"": ""scarlet_woman""}, {""id"": ""boomdandy""}, {""id"": ""lil_monsta""}, {""id"": ""fang_gu""}, {""id"": ""vortox""}]",25
24,Help Me (I Need an Emotional Support Human),"noble,investigator,chef,empath,preacher,undertaker,innkeeper,gossip,savant,professor,seamstress,huntsman,ravenkeeper,puzzlemaster,tinker,recluse,damsel,godfather,poisoner,fearmonger,assassin,shabaloth,po",full,"[{""id"": ""_meta"", ""name"": ""Help Me (I Need an Emotional Support Human)"", ""author"": ""Avery, Bunni, sabenite""}, {""id"": ""noble""}, {""id"": ""investigator""}, {""id"": ""chef""}, {""id"": ""empath""}, {""id"": ""preacher""}, {""id"": ""undertaker""}, {""id"": ""innkeeper""}, {""id"": ""gossip""}, {""id"": ""savant""}, {""id"": ""professor""}, {""id"": ""seamstress""}, {""id"": ""huntsman""}, {""id"": ""ravenkeeper""}, {""id"": ""puzzlemaster""}, {""id"": ""tinker""}, {""id"": ""recluse""}, {""id"": ""damsel""}, {""id"": ""godfather""}, {""id"": ""poisoner""}, {""id"": ""fearmonger""}, {""id"": ""assassin""}, {""id"": ""shabaloth""}, {""id"": ""po""}]",23
25,Snapdragon Bouquet,"pixie,chambermaid,king,monk,gambler,savant,gossip,philosopher,professor,huntsman,juggler,ravenkeeper,choirboy,recluse,damsel,drunk,barber,mezepheles,evil_twin,godfather,pit-hag,assassin,lil_monsta,shabaloth,vortox,spirit_of_ivory",full,"[{""id"": ""_meta"", ""name"": ""Snapdragon Bouquet (v4.0)"", ""author"": ""Maya""}, {""id"": ""pixie""}, {""id"": ""chambermaid""}, {""id"": ""king""}, {""id"": ""monk""}, {""id"": ""gambler""}, {""id"": ""savant""}, {""id"": ""gossip""}, {""id"": ""philosopher""}, {""id"": ""professor""}, {""id"": ""huntsman""}, {""id"": ""juggler""}, {""id"": ""ravenkeeper""}, {""id"": ""choirboy""}, {""id"": ""recluse""}, {""id"": ""damsel""}, {""id"": ""drunk""}, {""id"": ""barber""}, {""id"": ""mezepheles""}, {""id"": ""evil_twin""}, {""id"": ""godfather""}, {""id"": ""pit-hag""}, {""id"": ""assassin""}, {""id"": ""lil_monsta""}, {""id"": ""shabaloth""}, {""id"": ""vortox""}, {""id"": ""spirit_of_ivory""}]",26
26,The Referee's a W***er,"chef,pixie,empath,fortune_teller,snake_charmer,oracle,innkeeper,engineer,seamstress,ravenkeeper,virgin,poppy_grower,atheist,snitch,recluse,drunk,lunatic,poisoner,cerenovus,goblin,marionette,vigormortis,fang_gu,vortox,legion",full,"[{""id"": ""_meta"", ""name"": ""The Referee's a W***er"", ""author"": ""CaffeineBoost""}, {""id"": ""chef""}, {""id"": ""pixie""}, {""id"": ""empath""}, {""id"": ""fortune_teller""}, {""id"": ""snake_charmer""}, {""id"": ""oracle""}, {""id"": ""innkeeper""}, {""id"": ""engineer""}, {""id"": ""seamstress""}, {""id"": ""ravenkeeper""}, {""id"": ""virgin""}, {""id"": ""poppy_grower""}, {""id"": ""atheist""}, {""id"": ""snitch""}, {""id"": ""recluse""}, {""id"": ""drunk""}, {""id"": ""lunatic""}, {""id"": ""poisoner""}, {""id"": ""cerenovus""}, {""id"": ""goblin""}, {""id"": ""marionette""}, {""id"": ""vigormortis""}, {""id"": ""fang_gu""}, {""id"": ""vortox""}, {""id"": ""legion""}]",25
